get,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/content-preparation-templates/{contentPreparationTemplateId},Retrieve the specified Content Preparation Template of the specified Provisioning Session
put,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/content-preparation-templates/{contentPreparationTemplateId},Update the specified Content Preparation Template for the specified Provisioning Session
patch,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/content-preparation-templates/{contentPreparationTemplateId},Patch the specified Content Preparation Template for the specified Provisioning Session
delete,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/content-preparation-templates/{contentPreparationTemplateId},Destroy the specified Content Preparation Template of the specified Provisioning Session
get,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/protocols,Retrieve the set of Content Protocols supported by the specified Provisioning Session
post,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/edge-resources-configurations,Create an Edge Resources Configuration within the scope of the specified Provisioning Session
get,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/edge-resources-configurations/{edgeResourcesConfigurationId},Retrieve the Edge Resources Configuration of the specified Provisioning Session
put,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/edge-resources-configurations/{edgeResourcesConfigurationId},Update an Edge Resources Configuration for the specified Provisioning Session
patch,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/edge-resources-configurations/{edgeResourcesConfigurationId},Patch the Edge Resources Configuration for the specified Provisioning Session
delete,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/edge-resources-configurations/{edgeResourcesConfigurationId},
post,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/event-data-processing-configurations,Supply an Event Data Processing Configuration for the specified Provisioning Session
get,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/event-data-processing-configurations/{eventDataProcessingConfigurationId},Retrieve the specified Event Data Processing Configuration of the specified Provisioning Session
put,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/event-data-processing-configurations/{eventDataProcessingConfigurationId},Update the specified Event Data Processing Configuration for the specified Provisioning Session
patch,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/event-data-processing-configurations/{eventDataProcessingConfigurationId},Patch the specified Event Data Processing Configuration for the specified Provisioning Session
delete,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/event-data-processing-configurations/{eventDataProcessingConfigurationId},Destroy the specified Event Data Processing Configuration of the specified Provisioning Session
post,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/metrics-reporting-configurations,Activate the Metrics reporting procedure for the specified Provisioning Session by providing the Metrics Reporting Configuration
get,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/metrics-reporting-configurations/{metricsReportingConfigurationId},Retrieve the specified Metrics Reporting Configuration of the specified Provisioning Session
put,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/metrics-reporting-configurations/{metricsReportingConfigurationId},Update the specified Metrics Reporting Configuration for the specified Provisioning Session
patch,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/metrics-reporting-configurations/{metricsReportingConfigurationId},Patch the specified Metrics Reporting Configuration for the specified Provisioning Session
delete,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/metrics-reporting-configurations/{metricsReportingConfigurationId},Destroy the specified Metrics Reporting Configuration of the specified Provisioning Session
post,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/policy-templates,Create (and optionally upload) a new Policy Template
get,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/policy-templates/{policyTemplateId},Retrieve a representation of an existing Policy Template in the specified Provisioning Session
put,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/policy-templates/{policyTemplateId},Update a Policy Template for the specified Provisioning Session
patch,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/policy-templates/{policyTemplateId},Patch the Policy Template for the specified Provisioning Session
delete,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/policy-templates/{policyTemplateId},
post,{apiRoot}/3gpp-m1/v2/provisioning-sessions,Create a new Provisioning Session
get,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId},Retrieve an existing Provisioning Session
delete,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId},Destroy an existing Provisioning Session
post,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/certificates,Create or reserve a Service Certificate resource
put,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/certificates/{certificateId},Upload the X.509 certificate for a previously reserved Server Certificate resource
get,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/certificates/{certificateId},Retrieve the X.509 certificate representation of the specified Server Certificate resource
delete,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/certificates/{certificateId},Destroy an existing Server Certificate resource
post,{apiRoot}/3gpp-m5/v2/consumption-reporting/{aspId},Submit a Consumption Report
post,{apiRoot}/3gpp-m5/v2/dynamic-policies,Create (and optionally upload) a new Dynamic Policy resource
get,{apiRoot}/3gpp-m5/v2/dynamic-policies/{dynamicPolicyId},Retrieve an existing Dynamic Policy resource
put,{apiRoot}/3gpp-m5/v2/dynamic-policies/{dynamicPolicyId},Update an existing Dynamic Policy resource
patch,{apiRoot}/3gpp-m5/v2/dynamic-policies/{dynamicPolicyId},Patch an existing Dynamic Policy resource
delete,{apiRoot}/3gpp-m5/v2/dynamic-policies/{dynamicPolicyId},Destroy an existing Dynamic Policy resource
post,{apiRoot}/3gpp-m5/v2/metrics-reporting/{provisioningSessionId}/{metricsReportingConfigurationId},Submit a Metrics Report
post,{apiRoot}/3gpp-m5/v2/network-assistance/,Create a new Network Assistance Session.
get,{apiRoot}/3gpp-m5/v2/network-assistance/{naSessionId},Retrieve an existing Network Assistance Session resource
put,{apiRoot}/3gpp-m5/v2/network-assistance/{naSessionId},Update an existing Network Assistance Session resource
patch,{apiRoot}/3gpp-m5/v2/network-assistance/{naSessionId},Patch an existing Network Assistance Session resource
delete,{apiRoot}/3gpp-m5/v2/network-assistance/{naSessionId},Destroy an existing Network Assistance Session resource
get,{apiRoot}/3gpp-m5/v2/network-assistance/{naSessionId}/recommendation,Obtain a bit rate recommendation for the next recommendation window
post,{apiRoot}/3gpp-m5/v2/network-assistance/{naSessionId}/boost-request,Request a delivery boost
get,{apiRoot}/3gpp-m5/v2/service-access-information/{provisioningSessionId},Retrieve the Service Access Information resource
post,{apiRoot}/3gpp-ndcaf_data-reporting/v1/sessions,Create a new Data Reporting Session
get,{apiRoot}/3gpp-ndcaf_data-reporting/v1/sessions/{sessionId},Retrieve an existing Data Reporting Session
delete,{apiRoot}/3gpp-ndcaf_data-reporting/v1/sessions/{sessionId},Destroy an existing Data Reporting Session
post,{apiRoot}/3gpp-ndcaf_data-reporting/v1/sessions/{sessionId}/report,Report UE data in the context of an existing Data Reporting Session
post,{apiRoot}/3gpp-ndcaf_data-reporting-provisioning/v1/sessions,Create a new Data Reporting Provisioning Session
get,{apiRoot}/3gpp-ndcaf_data-reporting-provisioning/v1/sessions/{sessionId},Retrieve an existing Data Reporting Provisioning Session
delete,{apiRoot}/3gpp-ndcaf_data-reporting-provisioning/v1/sessions/{sessionId},Destroy an existing Data Reporting Provisioning Session
post,{apiRoot}/3gpp-ndcaf_data-reporting-provisioning/v1/sessions/{sessionId}/configurations/{configurationId},Create a new Data Reporting Configuration subresource within the scope of an existing Data Reporting Provisioning Session
get,{apiRoot}/3gpp-ndcaf_data-reporting-provisioning/v1/sessions/{sessionId}/configurations/{configurationId},Retrieve an existing Data Reporting Configuration
put,{apiRoot}/3gpp-ndcaf_data-reporting-provisioning/v1/sessions/{sessionId}/configurations/{configurationId},Replace an existing Data Reporting Configuration subresource
patch,{apiRoot}/3gpp-ndcaf_data-reporting-provisioning/v1/sessions/{sessionId}/configurations/{configurationId},Modify an existing Data Reporting Configuration subresource
delete,{apiRoot}/3gpp-ndcaf_data-reporting-provisioning/v1/sessions/{sessionId}/configurations/{configurationId},Destroy an existing Data Reporting Configuration
get,{MnSRoot}/FaultSupervisionMnS/{MnSversion}/alarms,Retrieve multiple alarms
patch,{MnSRoot}/FaultSupervisionMnS/{MnSversion}/alarms,Clear acknowledge or unacknowledge multiple alarms
get,{MnSRoot}/FaultSupervisionMnS/{MnSversion}/alarms/alarmCount,Get the alarm count per perceived severity
patch,{MnSRoot}/FaultSupervisionMnS/{MnSversion}/alarms/{alarmId},Clear  acknowledge or unacknowledge a single alarm
post,{MnSRoot}/FaultSupervisionMnS/{MnSversion}/alarms/{alarmId}/comments,Add a comment to a single alarm
post,{MnSRoot}/FaultSupervisionMnS/{MnSversion}/subscriptions,Create a subscription
delete,{MnSRoot}/FaultSupervisionMnS/{MnSversion}/subscriptions/{subscriptionId},Delete a subscription
get,{MnSRoot}/fileDataReportingMnS/{MnSVersion}/files,Read information about available files
post,{MnSRoot}/fileDataReportingMnS/{MnSVersion}/subscriptions,Create a subscription
delete,{MnSRoot}/fileDataReportingMnS/{MnSVersion}/subscriptions/{subscriptionId},Delete a subscription
post,{root}/notificationSink,Send notifications about performance threshold crossing
put,{MnSRoot}/ProvMnS/{MnSVersion}/{URI-LDN-first-part}/{className}={id},Replaces a complete single resource or creates it if it does not exist
get,{MnSRoot}/ProvMnS/{MnSVersion}/{URI-LDN-first-part}/{className}={id},Reads one or multiple resources
patch,{MnSRoot}/ProvMnS/{MnSVersion}/{URI-LDN-first-part}/{className}={id},Patches one or multiple resources
delete,{MnSRoot}/ProvMnS/{MnSVersion}/{URI-LDN-first-part}/{className}={id},Deletes one resource
post,{MnSRoot}/StreamingDataReportingMnS/{MnSVersion}/connections,Inform consumer about reporting streams to be carried by the new connection and receive a new connection id.
get,{MnSRoot}/StreamingDataReportingMnS/{MnSVersion}/connections,Obtain information about connections.
get,{MnSRoot}/StreamingDataReportingMnS/{MnSVersion}/connections/{connectionId},Obtain information about a connection.
post,{MnSRoot}/StreamingDataReportingMnS/{MnSVersion}/connections/{connectionId}/streams,Inform consumer about new reporting streams on an existing connection.
delete,{MnSRoot}/StreamingDataReportingMnS/{MnSVersion}/connections/{connectionId}/streams,Remove reporting streams from an existing connection
get,{MnSRoot}/StreamingDataReportingMnS/{MnSVersion}/connections/{connectionId}/streams,Obtain information about streams.
get,{MnSRoot}/StreamingDataReportingMnS/{MnSVersion}/connections/{connectionId}/streams/{streamId},Obtain information about stream
post,{MnSRoot}/PerfMeasJobCtrlMnS/{MnSVersion}/measJobs,Create a measurement job
get,{MnSRoot}/PerfMeasJobCtrlMnS/{MnSVersion}/measJobs,Read resources of measurement jobs
get,{MnSRoot}/PerfMeasJobCtrlMnS/{MnSVersion}/measJobs/{jobId},Read resource of a single measurement job
delete,{MnSRoot}/PerfMeasJobCtrlMnS/{MnSVersion}/measJobs/{jobId},Delete a single measurement job
get,{apiRoot}/3gpp-as-session-with-qos/v1/{scsAsId}/subscriptions,Read all or queried active subscriptions for the SCS/AS.
post,{apiRoot}/3gpp-as-session-with-qos/v1/{scsAsId}/subscriptions,Creates a new subscription resource.
get,{apiRoot}/3gpp-as-session-with-qos/v1/{scsAsId}/subscriptions/{subscriptionId},Read an active subscriptions for the SCS/AS and the subscription Id.
put,{apiRoot}/3gpp-as-session-with-qos/v1/{scsAsId}/subscriptions/{subscriptionId},Updates/replaces an existing subscription resource.
patch,{apiRoot}/3gpp-as-session-with-qos/v1/{scsAsId}/subscriptions/{subscriptionId},Updates/replaces an existing subscription resource.
delete,{apiRoot}/3gpp-as-session-with-qos/v1/{scsAsId}/subscriptions/{subscriptionId},Deletes an already existing subscription.
get,{apiRoot}/3gpp-chargeable-party/v1/{scsAsId}/transactions,Read all or queried chargeable party transaction resources for a given SCS/AS.
post,{apiRoot}/3gpp-chargeable-party/v1/{scsAsId}/transactions,Create a new chargeable party transaction resource.
get,{apiRoot}/3gpp-chargeable-party/v1/{scsAsId}/transactions/{transactionId},Read a chargeable party resource for a given SCS/AS and a transaction Id.
patch,{apiRoot}/3gpp-chargeable-party/v1/{scsAsId}/transactions/{transactionId},Updates a existing chargeable party resource for a given SCS/AS and transaction Id.
delete,{apiRoot}/3gpp-chargeable-party/v1/{scsAsId}/transactions/{transactionId},Deletes a chargeable party resource for a given SCS/AS and a transcation Id.
get,{apiRoot}/3gpp-cp-parameter-provisioning/v1/{scsAsId}/subscriptions,Read all active CP parameter provisioning subscription resources for a given SCS/AS.
post,{apiRoot}/3gpp-cp-parameter-provisioning/v1/{scsAsId}/subscriptions,Create a new subscription resource of provisioning CP parameter set(s).
get,{apiRoot}/3gpp-cp-parameter-provisioning/v1/{scsAsId}/subscriptions/{subscriptionId},Read a CP parameter provisioning subscription resource.
put,{apiRoot}/3gpp-cp-parameter-provisioning/v1/{scsAsId}/subscriptions/{subscriptionId},Modify a CP parameter provisioning subscription resource.
delete,{apiRoot}/3gpp-cp-parameter-provisioning/v1/{scsAsId}/subscriptions/{subscriptionId},Delete a CP parameter provisioning subscription resource.
get,{apiRoot}/3gpp-cp-parameter-provisioning/v1/{scsAsId}/subscriptions/{subscriptionId}/cpSets/{setId},Read CP at individual CP set(s) level associated with a CP parameter set Id.
put,{apiRoot}/3gpp-cp-parameter-provisioning/v1/{scsAsId}/subscriptions/{subscriptionId}/cpSets/{setId},Update CP at individual CP set(s) level associated with a CP parameter set Id.
delete,{apiRoot}/3gpp-cp-parameter-provisioning/v1/{scsAsId}/subscriptions/{subscriptionId}/cpSets/{setId},Delete CP at individual CP set(s) level associated with a CP parameter set Id.
get,{apiRoot}/3gpp-device-triggering/v1/{scsAsId}/transactions,read all active device triggering transactions for a given SCS/AS.
post,{apiRoot}/3gpp-device-triggering/v1/{scsAsId}/transactions,Create a long-term transaction for a device triggering.
get,{apiRoot}/3gpp-device-triggering/v1/{scsAsId}/transactions/{transactionId},Read a device triggering transaction resource.
put,{apiRoot}/3gpp-device-triggering/v1/{scsAsId}/transactions/{transactionId},Replace an existing device triggering transaction resource and the corresponding device trigger request.
patch,{apiRoot}/3gpp-device-triggering/v1/{scsAsId}/transactions/{transactionId},Modify an existing Individual Device Triggering Transaction resource and the corresponding device triggering request.
delete,{apiRoot}/3gpp-device-triggering/v1/{scsAsId}/transactions/{transactionId},Deletes an already existing device triggering transaction.
post,{apiRoot}/3gpp-ecr-control/v1/query,Query the status of enhanced converage restriction for a UE.
post,{apiRoot}/3gpp-ecr-control/v1/configure,Configure the enhanced converage restriction for a UE.
get,{apiRoot}/3gpp-group-message-delivery-mb2/v1/{scsAsId}/tmgi-allocation,read all TMGI Allocation resource for a given SCS/AS
post,{apiRoot}/3gpp-group-message-delivery-mb2/v1/{scsAsId}/tmgi-allocation,Creates a new TMGI Allocation resource for a given SCS/AS.
get,{apiRoot}/3gpp-group-message-delivery-mb2/v1/{scsAsId}/tmgi-allocation/{tmgi},Read a TMGI Allocation resource for a given SCS/AS and a TMGI.
put,{apiRoot}/3gpp-group-message-delivery-mb2/v1/{scsAsId}/tmgi-allocation/{tmgi},Updates an existing TMGI Allocation resource for a given SCS/AS and a TMGI.
patch,{apiRoot}/3gpp-group-message-delivery-mb2/v1/{scsAsId}/tmgi-allocation/{tmgi},Updates an existing TMGI Allocation resource for a given SCS/AS and a TMGI.
delete,{apiRoot}/3gpp-group-message-delivery-mb2/v1/{scsAsId}/tmgi-allocation/{tmgi},Deletes an existing TMGI Allocation resource for a given SCS/AS and a TMGI.
get,{apiRoot}/3gpp-group-message-delivery-mb2/v1/{scsAsId}/tmgi-allocation/{tmgi}/delivery-via-mbms,Read all group message delivery via MBMS resource for a given SCS/AS and a TMGI.
post,{apiRoot}/3gpp-group-message-delivery-mb2/v1/{scsAsId}/tmgi-allocation/{tmgi}/delivery-via-mbms,Creates a new delivery via MBMS for a given SCS/AS and a TMGI.
get,{apiRoot}/3gpp-group-message-delivery-mb2/v1/{scsAsId}/tmgi-allocation/{tmgi}/delivery-via-mbms/{transactionId},Read all group message delivery via MBMS resource for a given SCS/AS and a TMGI.
put,{apiRoot}/3gpp-group-message-delivery-mb2/v1/{scsAsId}/tmgi-allocation/{tmgi}/delivery-via-mbms/{transactionId},Updates a existing delivery via MBMS for a given SCS/AS  a TMGI and transaction Id.
patch,{apiRoot}/3gpp-group-message-delivery-mb2/v1/{scsAsId}/tmgi-allocation/{tmgi}/delivery-via-mbms/{transactionId},Updates a existing delivery via MBMS for a given SCS/AS  a TMGI and transaction Id.
delete,{apiRoot}/3gpp-group-message-delivery-mb2/v1/{scsAsId}/tmgi-allocation/{tmgi}/delivery-via-mbms/{transactionId},Deletes a delivery via MBMS resource for a given SCS/AS  a TMGI and a transcation Id.
get,{apiRoot}/3gpp-group-message-delivery-xmb/v1/{scsAsId}/services,Read all service resources for a given SCS/AS.
post,{apiRoot}/3gpp-group-message-delivery-xmb/v1/{scsAsId}/services,Creates a new service creation resource for a given SCS/AS.
get,{apiRoot}/3gpp-group-message-delivery-xmb/v1/{scsAsId}/services/{serviceId},Read a service resource for a given SCS/AS and a Service Id.
delete,{apiRoot}/3gpp-group-message-delivery-xmb/v1/{scsAsId}/services/{serviceId},Deletes an existing service resource for a given SCS/AS and a service id.
get,{apiRoot}/3gpp-group-message-delivery-xmb/v1/{scsAsId}/services/{serviceId}/delivery-via-mbms,Read all group message delivery via MBMS resource for a given SCS/AS and a service id.
post,{apiRoot}/3gpp-group-message-delivery-xmb/v1/{scsAsId}/services/{serviceId}/delivery-via-mbms,Creates a new delivery via MBMS for a given SCS/AS and a service Id.
get,{apiRoot}/3gpp-group-message-delivery-xmb/v1/{scsAsId}/services/{serviceId}/delivery-via-mbms/{transactionId},Read all group message delivery via MBMS resource for a given SCS/AS and a service Id.
put,{apiRoot}/3gpp-group-message-delivery-xmb/v1/{scsAsId}/services/{serviceId}/delivery-via-mbms/{transactionId},Updates an existing delivery via MBMS for a given SCS/AS  a service Id and transaction Id.
patch,{apiRoot}/3gpp-group-message-delivery-xmb/v1/{scsAsId}/services/{serviceId}/delivery-via-mbms/{transactionId},Updates an existing delivery via MBMS for a given SCS/AS  a service Id and transaction Id.
delete,{apiRoot}/3gpp-group-message-delivery-xmb/v1/{scsAsId}/services/{serviceId}/delivery-via-mbms/{transactionId},Deletes a delivery via MBMS resource for a given SCS/AS  a service Id and a transcation Id.
get,{apiRoot}/3gpp-monitoring-event/v1/{scsAsId}/subscriptions,Read all or queried active subscriptions for the SCS/AS.
post,{apiRoot}/3gpp-monitoring-event/v1/{scsAsId}/subscriptions,Creates a new subscription resource for monitoring event notification.
get,{apiRoot}/3gpp-monitoring-event/v1/{scsAsId}/subscriptions/{subscriptionId},Read an active subscriptions for the SCS/AS and the subscription Id.
put,{apiRoot}/3gpp-monitoring-event/v1/{scsAsId}/subscriptions/{subscriptionId},Updates/replaces an existing subscription resource.
patch,{apiRoot}/3gpp-monitoring-event/v1/{scsAsId}/subscriptions/{subscriptionId},Modifies an existing subscription of monitoring event.
delete,{apiRoot}/3gpp-monitoring-event/v1/{scsAsId}/subscriptions/{subscriptionId},Deletes an already existing monitoring event subscription.
post,{apiRoot}/,Deliver a received MSIDN-less MO SMS from the SCEF to the SCS/AS.
get,{apiRoot}/3gpp-nidd/v1/{scsAsId}/configurations,Read all NIDD configuration resources for a given SCS/AS.
post,{apiRoot}/3gpp-nidd/v1/{scsAsId}/configurations,Create a new NIDD configuration resource.
get,{apiRoot}/3gpp-nidd/v1/{scsAsId}/configurations/{configurationId},Read an NIDD configuration resource.
patch,{apiRoot}/3gpp-nidd/v1/{scsAsId}/configurations/{configurationId},Modify an existing NIDD configuration resource.
delete,{apiRoot}/3gpp-nidd/v1/{scsAsId}/configurations/{configurationId},Delete an existing NIDD configuration resource.
get,{apiRoot}/3gpp-nidd/v1/{scsAsId}/configurations/{configurationId}/downlink-data-deliveries,Read all pending NIDD downlink data delivery resources related to a particular NIDD configuration resource.
post,{apiRoot}/3gpp-nidd/v1/{scsAsId}/configurations/{configurationId}/downlink-data-deliveries,Create an NIDD downlink data delivery resource related to a particular NIDD configuration resource.
get,{apiRoot}/3gpp-nidd/v1/{scsAsId}/configurations/{configurationId}/downlink-data-deliveries/{downlinkDataDeliveryId},Read pending NIDD downlink data delivery resource.
put,{apiRoot}/3gpp-nidd/v1/{scsAsId}/configurations/{configurationId}/downlink-data-deliveries/{downlinkDataDeliveryId},Replace an NIDD downlink data delivery resource.
patch,{apiRoot}/3gpp-nidd/v1/{scsAsId}/configurations/{configurationId}/downlink-data-deliveries/{downlinkDataDeliveryId},Modify an existing Individual NIDD downlink data delivery resource.
delete,{apiRoot}/3gpp-nidd/v1/{scsAsId}/configurations/{configurationId}/downlink-data-deliveries/{downlinkDataDeliveryId},Delete an NIDD downlink data delivery resource.
get,{apiRoot}/3gpp-nidd/v1/{scsAsId}/configurations/{configurationId}/rds-ports,Read all RDS ManagePort Configurations.
get,{apiRoot}/3gpp-nidd/v1/{scsAsId}/configurations/{configurationId}/rds-ports/{portId},Read an Individual ManagePort Configuration resource to query port numbers.
put,{apiRoot}/3gpp-nidd/v1/{scsAsId}/configurations/{configurationId}/rds-ports/{portId},Create a new Individual ManagePort Configuration resource to reserve port numbers.
delete,{apiRoot}/3gpp-nidd/v1/{scsAsId}/configurations/{configurationId}/rds-ports/{portId},Delete an Individual ManagePort Configuration resource to release port numbers.
get,{apiRoot}/3gpp-network-parameter-configuration/v1/{scsAsId}/configurations,Read all of the active configurations for the SCS/AS.
post,{apiRoot}/3gpp-network-parameter-configuration/v1/{scsAsId}/configurations,Creates a new configuration resource for network parameter configuration.
get,{apiRoot}/3gpp-network-parameter-configuration/v1/{scsAsId}/configurations/{configurationId},Read an active configuration for the SCS/AS and the configuration Id.
put,{apiRoot}/3gpp-network-parameter-configuration/v1/{scsAsId}/configurations/{configurationId},Updates/replaces an existing configuration resource.
patch,{apiRoot}/3gpp-network-parameter-configuration/v1/{scsAsId}/configurations/{configurationId},Updates/replaces an existing configuration resource.
delete,{apiRoot}/3gpp-network-parameter-configuration/v1/{scsAsId}/configurations/{configurationId},Deletes an already existing configuration.
get,{apiRoot}/3gpp-pfd-management/v1/{scsAsId}/transactions,Read all or queried PFDs for a given SCS/AS.
post,{apiRoot}/3gpp-pfd-management/v1/{scsAsId}/transactions,Create PFDs for a given SCS/AS and one or more external Application Identifier(s).
get,{apiRoot}/3gpp-pfd-management/v1/{scsAsId}/transactions/{transactionId},Read all PFDs for a given SCS/AS and a transaction for one or more external Application Identifier(s).
put,{apiRoot}/3gpp-pfd-management/v1/{scsAsId}/transactions/{transactionId},Update PFDs for a given SCS/AS and a transaction for one or more external Application Identifier(s).
patch,{apiRoot}/3gpp-pfd-management/v1/{scsAsId}/transactions/{transactionId},Modify an existing PFD Management Transaction resource.
delete,{apiRoot}/3gpp-pfd-management/v1/{scsAsId}/transactions/{transactionId},Delete PFDs for a given SCS/AS and a transaction for one or more external Application Identifier(s).
get,{apiRoot}/3gpp-pfd-management/v1/{scsAsId}/transactions/{transactionId}/applications/{appId},Read PFDs at individual application level.
